144,Laki-Laki,22,8.4,9.4,10.5,11.8,13.2,14.7,16.5
145,Laki-Laki,23,8.5,9.5,10.7,12,13.4,15,16.8
146,Laki-Laki,24,8.6,9.7,10.8,12.2,13.6,15.3,17.1
147,Laki-Laki,25,8.8,9.8,11,12.4,13.9,15.5,17.5
148,Laki-Laki,26,8.9,10,11.2,12.5,14.1,15.8,17.8
149,Laki-Laki,27,9,10.1,11.3,12.7,14.3,16.1,18.1
150,Laki-Laki,28,9.1,10.2,11.5,12.9,14.5,16.3,18.4
151,Laki-Laki,29,9.2,10.4,11.7,13.1,14.8,16.6,18.7
152,Laki-Laki,30,9.4,10.5,11.8,13.3,15,16.9,19
153,Laki-Laki,31,9.5,10.7,12,13.5,15.2,17.1,19.3
154,Laki-Laki,32,9.6,10.8,12.1,13.7,15.4,17.4,19.6
155,Laki-Laki,33,9.7,10.9,12.3,13.8,15.6,17.6,19.9
156,Laki-Laki,34,9.8,11,12.4,14,15.8,17.8,20.2
157,Laki-Laki,35,9.9,11.2,12.6,14.2,16,18.1,20.4
158,Laki-Laki,36,10,11.3,12.7,14.3,16.2,18.3,20.7
159,Laki-Laki,37,10.1,11.4,12.9,14.5,16.4,18.6,21
160,Laki-Laki,38,10.2,11.5,13,14.7,16.6,18.8,21.3
161,Laki-Laki,39,10.3,11.6,13.1,14.8,16.8,19,21.6
162,Laki-Laki,40,10.4,11.8,13.3,15,17,19.3,21.9
163,Laki-Laki,41,10.5,11.9,13.4,15.2,17.2,19.5,22.1
164,Laki-Laki,42,10.6,12,13.6,15.3,17.4,19.7,22.4
165,Laki-Laki,43,10.7,12.1,13.7,15.5,17.6,20,22.7
166,Laki-Laki,44,10.8,12.2,13.8,15.7,17.8,20.2,23
167,Laki-Laki,45,10.9,12.4,14,15.8,18,20.5,23.3
168,Laki-Laki,46,11,12.5,14.1,16,18.2,20.7,23.6
169,Laki-Laki,47,11.1,12.6,14.3,16.2,18.4,20.9,23.9
170,Laki-Laki,48,11.2,12.7,14.4,16.3,18.6,21.2,24.2
171,Laki-Laki,49,11.3,12.8,14.5,16.5,18.8,21.4,24.5
172,Laki-Laki,50,11.4,12.9,14.7,16.7,19,21.7,24.8
173,Laki-Laki,51,11.5,13.1,14.8,16.8,19.2,21.9,25.1
174,Laki-Laki,52,11.6,13.2,15,17,19.4,22.2,25.4
175,Laki-Laki,53,11.7,13.3,15.1,17.2,19.6,22.4,25.7
176,Laki-Laki,54,11.8,13.4,15.2,17.3,19.8,22.7,26
177,Laki-Laki,55,11.9,13.5,15.4,17.5,20,22.9,26.3
178,Laki-Laki,56,12,13.6,15.5,17.7,20.2,23.2,26.6
179,Laki-Laki,57,12.1,13.7,15.6,17.8,20.4,23.4,26.9
180,Laki-Laki,58,12.2,13.8,15.8,18,20.6,23.7,27.2
181,Laki-Laki,59,12.3,14,15.9,18.2,20.8,23.9,27.6
182,Laki-Laki,60,12.4,14.1,16,18.3,21,24.2,27.9
183,Laki-Laki,61,12.718,14.367,16.279,18.506,21.109,24.165,27.77
184,Laki-Laki,62,12.833,14.496,16.428,18.68,21.319,24.423,28.093
185,Laki-Laki,63,12.95,14.627,16.578,18.856,21.53,24.683,28.42
186,Laki-Laki,64,13.067,14.759,16.729,19.034,21.744,24.946,28.75
187,Laki-Laki,65,13.186,14.892,16.882,19.213,21.959,25.21,29.083
188,Laki-Laki,66,13.307,15.027,17.036,19.394,22.176,25.477,29.42
189,Laki-Laki,67,13.429,15.164,17.192,19.576,22.395,25.747,29.76
190,Laki-Laki,68,13.553,15.302,17.35,19.761,22.615,26.018,30.102
191,Laki-Laki,69,13.679,15.442,17.509,19.947,22.839,26.293,30.449
192,Laki-Laki,70,13.805,15.583,17.67,20.134,23.063,26.569,30.799
193,Laki-Laki,71,13.934,15.726,17.832,20.324,23.29,26.848,31.153
194,Laki-Laki,72,14.063,15.87,17.996,20.514,23.517,27.129,31.508
195,Laki-Laki,73,14.193,16.015,18.16,20.705,23.747,27.412,31.868
196,Laki-Laki,74,14.324,16.16,18.326,20.898,23.978,27.697,32.231
197,Laki-Laki,75,14.456,16.307,18.492,21.092,24.21,27.984,32.598
198,Laki-Laki,76,14.588,16.454,18.659,21.287,24.445,28.275,32.969
199,Laki-Laki,77,14.721,16.602,18.828,21.483,24.68,28.567,33.343
200,Laki-Laki,78,14.855,16.751,18.997,21.681,24.918,28.862,33.723
201,Laki-Laki,79,14.99,16.9,19.167,21.88,25.158,29.161,34.107
202,Laki-Laki,80,15.125,17.05,19.338,22.08,25.399,29.461,34.495
203,Laki-Laki,81,15.259,17.201,19.51,22.281,25.642,29.765,34.889
204,Laki-Laki,82,15.395,17.352,19.682,22.484,25.887,30.072,35.287
205,Laki-Laki,83,15.531,17.503,19.855,22.687,26.134,30.382,35.692
206,Laki-Laki,84,15.666,17.655,20.029,22.892,26.382,30.695,36.1
207,Laki-Laki,85,15.802,17.807,20.203,23.097,26.632,31.011,36.515
208,Laki-Laki,86,15.937,17.958,20.377,23.303,26.885,31.33,36.936
209,Laki-Laki,87,16.072,18.11,20.552,23.51,27.138,31.653,37.363
210,Laki-Laki,88,16.207,18.262,20.727,23.718,27.394,31.979,37.795
211,Laki-Laki,89,16.341,18.414,20.903,23.927,27.652,32.309,38.236
212,Laki-Laki,90,16.475,18.565,21.078,24.137,27.911,32.642,38.682
213,Laki-Laki,91,16.609,18.717,21.255,24.348,28.172,32.979,39.135
214,Laki-Laki,92,16.742,18.868,21.431,24.56,28.436,33.32,39.597
215,Laki-Laki,93,16.875,19.019,21.607,24.772,28.701,33.665,40.065
216,Laki-Laki,94,17.008,19.17,21.784,24.986,28.969,34.015,40.542
217,Laki-Laki,95,17.14,19.321,21.961,25.2,29.239,34.368,41.027
218,Laki-Laki,96,17.271,19.472,22.138,25.416,29.512,34.727,41.521
219,Laki-Laki,97,17.402,19.622,22.316,25.633,29.787,35.091,42.025
220,Laki-Laki,98,17.532,19.772,22.494,25.851,30.064,35.459,42.538
221,Laki-Laki,99,17.662,19.922,22.672,26.071,30.344,35.832,43.06
222,Laki-Laki,100,17.792,20.072,22.851,26.291,30.627,36.21,43.591
223,Laki-Laki,101,17.921,20.222,23.031,26.513,30.912,36.593,44.131
224,Laki-Laki,102,18.05,20.372,23.21,26.736,31.199,36.981,44.682
225,Laki-Laki,103,18.178,20.522,23.39,26.96,31.49,37.376,45.244
226,Laki-Laki,104,18.306,20.672,23.571,27.186,31.784,37.774,45.815
227,Laki-Laki,105,18.433,20.822,23.753,27.414,32.08,38.179,46.397
228,Laki-Laki,106,18.561,20.972,23.936,27.643,32.381,38.591,46.992
229,Laki-Laki,107,18.689,21.123,24.119,27.875,32.685,39.009,47.598
230,Laki-Laki,108,18.817,21.275,24.305,28.109,32.993,39.433,48.214
231,Laki-Laki,109,18.945,21.428,24.492,28.346,33.305,39.864,48.843
232,Laki-Laki,110,19.075,21.582,24.681,28.585,33.621,40.301,49.483
233,Laki-Laki,111,19.205,21.737,24.871,28.828,33.941,40.744,50.132
234,Laki-Laki,112,19.336,21.894,25.064,29.073,34.266,41.195,50.792
235,Laki-Laki,113,19.468,22.052,25.259,29.322,34.595,41.652,51.463
236,Laki-Laki,114,19.601,22.212,25.457,29.574,34.929,42.116,52.146
237,Laki-Laki,115,19.735,22.373,25.656,29.829,35.268,42.587,52.838
238,Laki-Laki,116,19.87,22.537,25.859,30.088,35.612,43.063,53.538
239,Laki-Laki,117,20.006,22.701,26.064,30.35,35.96,43.547,54.248
240,Laki-Laki,118,20.143,22.868,26.271,30.616,36.313,44.038,54.968
241,Laki-Laki,119,20.281,23.036,26.481,30.885,36.671,44.534,55.695
242,Laki-Laki,120,20.42,23.206,26.694,31.159,37.035,45.038,56.434
